ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
KEN,778948,Women with no education,17.9,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,1993,DHS,7540,7540,,,
KEN,778946,Women with primary education,57.6,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,1993,DHS,7540,7540,,,
KEN,778947,Women with secondary or higher education,24.5,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1993,DHS,7540,7540,,,
KEN,193963,Men with no education,6.9,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,1993,DHS,2171,2170,,,
KEN,193969,Men with primary education,53.3,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,1993,DHS,2171,2170,,,
KEN,193972,Men with secondary or higher education,39.7,1,KE,Kenya,1993,KE1993DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,1993,DHS,2171,2170,,,
KEN,274044,Women with no education,11.5,1,KE,Kenya,1998,KE1998DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,1998,DHS,7881,7881,,,
KEN,274041,Women with primary education,59.3,1,KE,Kenya,1998,KE1998DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,1998,DHS,7881,7881,,,
KEN,274042,Women with secondary or higher education,29.2,1,KE,Kenya,1998,KE1998DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,1998,DHS,7881,7881,,,
KEN,233835,Men with no education,3.5,1,KE,Kenya,1998,KE1998DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,1998,DHS,3224,3231,,,
KEN,233831,Men with primary education,55.1,1,KE,Kenya,1998,KE1998DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,1998,DHS,3224,3231,,,
KEN,233838,Men with secondary or higher education,41.5,1,KE,Kenya,1998,KE1998DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,1998,DHS,3224,3231,,,
KEN,186779,Women with no education,12.7,1,KE,Kenya,2003,KE2003DHS,ED_EDUC_W_NED,231203010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWNED,,2003,DHS,8195,8195,,,
KEN,186789,Women with primary education,58,1,KE,Kenya,2003,KE2003DHS,ED_EDUC_W_PRI,231203090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWPRI,,2003,DHS,8195,8195,,,
KEN,186790,Women with secondary or higher education,29.3,1,KE,Kenya,2003,KE2003DHS,ED_EDUC_W_SEH,231203100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCWSEH,,2003,DHS,8195,8195,,,
KEN,120210,Men with no education,5.7,1,KE,Kenya,2003,KE2003DHS,ED_EDUC_M_NED,231204140,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMNED,,2003,DHS,3363,3348,,,
KEN,120215,Men with primary education,57,1,KE,Kenya,2003,KE2003DHS,ED_EDUC_M_PRI,231204220,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMPRI,,2003,DHS,3363,3348,,,
KEN,120213,Men with secondary or higher education,37.3,1,KE,Kenya,2003,KE2003DHS,ED_EDUC_M_SEH,231204230,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,EDEDUCMSEH,,2003,DHS,3363,3348,,,
