year,overweight,stunting,wasting,women_literate,women_secondary,improved_water,improved_sanitation,electricity,refrigerator,television
1993,5.7,39.9,6.7,,24.5,38.6,13.6,8.8,2.8,6.1
1998,6.3,37.7,6.9,,29.2,30.2,15.9,11.7,3.8,13.0
2003,5.5,35.7,6.0,78.5,29.3,41.4,16.9,13.1,4.3,19.4
2008,4.7,35.3,6.7,84.9,34.3,61.7,44.6,18.1,6.4,28.1
2014,4.1,26.0,4.0,87.8,42.7,68.4,47.9,28.8,6.2,34.5
2022,3.2,17.6,4.9,90.9,58.2,76.5,66.6,51.1,10.9,50.1
